,source,smog_index,coleman_liau_index,flesch_reading_ease,gunning_fog,automated_readability_index,linsear_write_formula,dale_chall_readability_score,error,error_binary
830,Empowered to Perform_ A Multilevel Investigation of the Influence of Empowerment on Performance in Hospital Units,16.6,16.71,-77.36,11.3,18.5,14.166666666666666,6.56,0.0,0.0
831,Engage Me_ The Mature-Age Worker and Stereotype Threat,14.7,17.63,-73.81,9.78,17.9,14.4,6.34,0.0,0.0
832,Engaged and Productive Misfits_ How Job Crafting and Leisure Activity Mitigate the Negative Effects of Value Incongruence,16.2,15.5,-53.4,11.34,17.8,13.5,6.27,0.0,0.0
833,"Fail Often, Fail Big, and Fail Fast_ Learning from Small Failures and R&D Performance in the Pharmaceutical Industry",14.9,14.85,-42.91,10.71,16.3,12.833333333333334,6.3,0.0,0.0
834,Flourishing via Workplace Relationships_ Moving Beyond Instrumental Support,16.2,16.08,-69.81,11.09,18.0,16.2,6.18,0.0,0.0
835,Friends and Profits Don’t Mix_ The Performance Implications of Repeated Partnerships,15.8,16.24,-60.44,11.26,17.7,17.2,6.59,0.0,0.0
836,Funding Financial Inclusion_ Institutional Logics and the Contextual Contingency of Funding for Microfinance Organizations,16.4,16.08,-62.57,11.75,18.5,15.2,6.43,0.0,0.0
837,Fuzzy Logic and the Market_ A Configurational Approach to Investor Perceptions of Acquisition Announcements,17.2,16.31,-72.65,12.5,19.5,19.75,6.53,0.0,0.0
838,Health Care’s Grand Challenge_ Stimulating Basic Science on Diseases that Primarily Afflict the Poor,18.5,16.66,-78.24,14.68,21.9,18.25,6.78,0.0,0.0
839,How do Firms Adapt_ A Fuzzy-Set Analysis of the Role of Cognition and Capabilities in U.S. Defense Firms’ Responses to 9_11,17.8,16.48,-75.09,13.67,20.9,8.625,6.79,0.0,0.0
840,How Does Leader Humility Influence Team Performance_ Exploring the Mechanisms of Contagion and Collective Promotion Focus,16.3,15.95,-69.1,11.17,17.9,13.5,6.4,0.0,0.0
841,How Open System Intermediaries Address Institutional Failures_ The Case of Business Incubators in Emerging-Market Countries,17.1,17.76,-79.08,11.75,19.7,20.5,6.52,0.0,0.0
842,Integrating the Bright and Dark Sides of OCB_ A Daily Investigation of the Benefits and Costs of Helping Others,15.5,15.9,-74.82,9.96,16.6,27.666666666666668,6.17,0.0,0.0
843,"Knowledge Inheritance, Vertical Integration, and Entrant Survival in the Early U.S. Auto Industry",17.3,16.77,-63.89,12.46,19.7,16.0,6.56,0.0,0.0
844,"Local Partnering in Foreign Ventures_ Uncertainty, Experiential Learning, and Syndication in Cross-Border Venture Capital Investments",17.6,16.66,-66.22,12.89,20.7,25.0,6.35,0.0,0.0
845,Magnification and Correction of the Acolyte Effect_ Initial Benefits and Ex Post Settling up in NFL Coaching Careers,16.3,16.02,-61.86,11.81,18.2,19.0,6.56,0.0,0.0
846,Management’s Science–Practice Gap_ A Grand Challenge for All Stakeholders,17.1,15.79,-66.63,13.54,20.1,10.125,6.7,0.0,0.0
847,Managing Coordination in Multiteam Systems_ Integrating Micro and Macro Perspectives,18.4,17.93,-90.08,13.06,21.2,16.0,6.75,0.0,0.0
848,Managing the Consequences of Organizational Stigmatization_ Identity Work in a Social Enterprise,16.8,15.09,-66.73,13.37,19.4,19.5,6.63,0.0,0.0
849,Managing the Risks of Proactivity_ A Multilevel Study of Initiative and Performance in the Middle Management Context,17.8,17.53,-71.23,12.16,19.7,42.0,6.56,0.0,0.0
850,Mechanisms of Hybrid Governance_ Administrative Committees in Non-Equity Alliances,17.1,18.63,-78.68,11.7,20.1,16.6,6.49,0.0,0.0
851,Mediated Sensemaking,15.4,14.27,-44.13,11.34,16.3,19.25,6.45,0.0,0.0
852,Micro-Foundations of Firm-Specific Human Capital_ When Do Employees Perceive Their Skills to be Firm-Specific_,16.3,15.95,-68.8,10.9,17.5,23.0,6.31,0.0,0.0
853,Misfit and Milestones_ Structural Elaboration and Capability Reinforcement in the Evolution of Entrepreneurial Top Management Teams,15.5,14.86,-54.72,11.76,17.6,11.428571428571429,6.27,0.0,0.0
854,Mobilization in the Internet Age_ Internet Activism and Corporate Response,16.0,16.13,-61.86,11.59,18.2,21.5,6.52,0.0,0.0
855,"My Family Made Me Do It_ A Cross-Domain, Self-Regulatory Perspective on Antecedents to Abusive Supervision",16.0,15.66,-77.16,10.77,17.4,10.375,6.24,2.0,1.0
856,Not All Inequality Is Equal_ Deconstructing the Societal Logic of Patriarchy to Understand Microfinance Lending to Women,16.0,15.9,-61.56,11.52,17.9,21.0,6.5,0.0,0.0
857,Partners in Crime_ The Effects of Diversity on the Longevity of Cartels,15.1,16.12,-65.14,9.73,16.3,25.333333333333332,6.33,0.0,0.0
858,Perceptions of Employee Volunteering_ Is It “Credited” or “Stigmatized” by Colleagues_,16.8,16.36,-68.9,10.79,18.0,11.428571428571429,6.21,0.0,0.0
859,Persona Non Grata_ Determinants and Consequences of Social Distancing from Journalists Who Engage in Negative Coverage of Firm Leadership,18.4,15.84,-75.7,13.29,20.4,21.0,6.41,0.0,0.0
860,Protecting Market Identity_ When and How Do Organizations Respond to Consumers’ Devaluations_,16.0,16.07,-68.49,11.37,17.4,21.25,6.65,0.0,0.0
861,"Psyched-up to Suck-up_ Self-regulated Cognition, Interpersonal Influence, and Recommendations for Board Appointments in the Corporate Elite",18.4,16.48,-83.65,12.89,20.7,27.0,6.23,0.0,0.0
862,"Ready, AIM, Acquire_ Impression Offsetting and Acquisitions",17.9,17.35,-79.29,11.67,19.3,15.0,6.37,0.0,0.0
863,Relational Changes During Role Transitions_ The Interplay of Efficiency and Cohesion,15.3,15.03,-51.47,10.74,16.5,8.25,6.31,0.0,0.0
864,Reputation as a Benefit and a Burden_ How Stakeholders’ Organizational Identification Affects the Role of Reputation Following a Negative Event,16.9,17.06,-85.62,10.82,18.6,16.6,6.32,0.0,0.0
865,Scaffolding_ A Process of Transforming Patterns of Inequality in Small-Scale Societies,16.6,16.48,-72.96,12.91,19.5,19.5,6.83,0.0,0.0
866,Selective Regulator Decoupling and Organizations’ Strategic Responses,16.9,17.35,-61.15,11.82,18.9,22.0,6.78,0.0,0.0
867,Some Things Can Never Be Unseen_ The Role of Context in Psychological Injury at War,16.7,14.63,-68.05,14.04,19.5,21.333333333333332,6.84,0.0,0.0
868,Spilling Outside the Box_ The Effects of Individuals’ Creative Behaviors at Work on Time Spent with their Spouses at Home,16.2,15.21,-71.84,12.37,18.0,12.5,6.74,0.0,0.0
869,Status Matters_ The Asymmetric Effects of Supervisor–Subordinate Disability Incongruence and Climate for Inclusion,15.8,16.3,-74.72,9.96,16.8,14.166666666666666,6.2,0.0,0.0
870,Stories about Values and Valuable Stories_ A Field Experiment of the Power of Narratives to Shape Newcomers’ Actions,16.3,16.48,-69.81,11.67,18.4,27.333333333333332,6.58,0.0,0.0
871,Temporal Institutional Work,16.9,16.54,-71.13,11.97,18.8,19.5,6.5,0.0,0.0
872,The Art of Representation_ How Audience-specific Reputations Affect Success in the Contemporary Art Field,17.1,16.13,-63.38,12.03,18.9,19.5,6.46,0.0,0.0
873,The Behavioral Theory of the (Governed) Firm_ Corporate Board Influences on Organizations’ Responses to Performance Shortfalls,18.6,17.18,-76.71,14.18,21.8,21.5,6.74,0.0,0.0
874,The Dark Side of Board Political Capital_ Enabling Blockholder Rent Appropriation,17.1,17.29,-78.07,11.57,18.7,13.833333333333334,6.6,0.0,0.0
875,The Grammar of Decoupling_ A Cognitive-Linguistic Perspective on Firms’ Sustainability Claims and Stakeholders’ Interpretation,16.1,17.06,-67.88,11.29,17.9,20.5,6.72,0.0,0.0
876,The Impact of CEO Succession with Gender Change on Firm Performance and Successor Early Departure_ Evidence from China’s Publicly Listed Companies in 1997–2010,17.0,15.26,-65.01,12.2,19.0,26.333333333333332,6.15,0.0,0.0
877,The Online Shadow of Offline Signals_ Which Sellers Get Contacted in Online B2B Marketplaces_,17.9,16.31,-66.63,13.52,20.6,28.333333333333332,6.64,0.0,0.0
878,The Operational and Signaling Benefits of Voluntary Labor Code Adoption_ Reconceptualizing the Scope of Human Resource Management in Emerging Economies,19.2,17.07,-79.56,15.88,23.1,37.5,7.22,0.0,0.0
879,The Quest for Originality_ A New Typology of Knowledge Search and Breakthrough Inventions,17.3,17.35,-64.3,12.64,20.3,25.333333333333332,6.54,0.0,0.0
880,There’s No Beer without a Smoke_ Community Cohesion and Neighboring Communities’ Effects on Organizational Resistance to Antismoking Regulations in the Dutch Hospitality Industry,17.5,15.96,-65.41,13.22,19.7,22.0,6.74,0.0,0.0
881,Third Party Employment Branding_ Human Capital Inflows and Outflows Following “Best Places to Work” Certifications,17.2,17.29,-79.08,11.89,19.3,16.2,6.61,0.0,0.0
882,Turning their Pain to Gain_ Charismatic Leader Influence on Follower Stress Appraisal and Job Performance,16.4,16.71,-71.03,11.68,19.2,14.8,6.31,0.0,0.0
883,Under the Radar_ Regulatory Collaborations and their Selective Use to Facilitate Organizational Compliance,18.7,19.38,-90.28,13.04,22.4,15.0,6.71,0.0,0.0
884,Understanding and Tackling Societal Grand Challenges through Management Research,17.1,17.18,-81.22,13.8,20.1,21.0,7.47,0.0,0.0
885,"Understanding Community Dynamics in the Study of Grand Challenges_ How Nonprofits, Institutional Actors, and the Community Fabric Interact to Influence Income Inequality",17.0,17.69,-77.05,11.51,18.7,19.75,6.7,0.0,0.0
886,"Understanding the Direction, Magnitude, and Joint Effects of Reputation When Multiple Actors’ Reputations Collide",16.1,14.45,-62.57,11.59,17.0,15.4,6.3,0.0,0.0
887,Unearned Status Gain_ Evidence from a Global Language Mandate,16.0,15.96,-70.62,11.76,18.1,14.2,6.48,0.0,0.0
888,Venture Capital Ownership as a Contingent Resource_ How Owner–Firm Fit Influences IPO Outcomes,17.3,15.09,-66.93,13.64,19.7,20.5,6.67,0.0,0.0
889,What Do I Take With Me_ The Mediating Effect of Spin-out Team Size and Tenure on the Founder–Firm Performance Relationship,16.1,15.79,-54.92,11.95,18.6,13.8,6.34,0.0,0.0
890,Whatever It Takes to Win_ Rivalry Increases Unethical Behavior,16.6,15.61,-70.83,11.57,18.2,11.857142857142858,6.33,0.0,0.0
891,When Do Entrepreneurs Accurately Evaluate Venture Capital Firms’ Track Records_ A Bounded Rationality Perspective,17.2,16.13,-73.06,12.51,19.4,15.6,6.48,0.0,0.0
892,When Experts Become Liabilities_ Domain Experts on Boards and Organizational Failure,16.9,16.02,-64.19,12.64,19.2,25.333333333333332,6.62,0.0,0.0
893,"When in Rome, Look Like Caesar_ Investigating the Link between Demand-side Cultural Power Distance and CEO Power",17.1,16.66,-71.64,12.26,19.3,20.25,6.56,0.0,0.0
894,When Justice Promotes Injustice_ Why Minority Leaders Experience Bias When They Adhere to Interpersonal Justice Rules,16.5,16.82,-77.87,11.33,18.5,14.166666666666666,6.44,0.0,0.0
895,Why Are Abusive Supervisors Abusive_ A Dual-system Self-control Model,18.4,17.58,-81.72,12.91,21.0,12.0,6.66,0.0,0.0
896,A Neurological and Ideological Perspective of Ethical Leadership,15.9,15.72,-83.99,10.58,16.7,12.285714285714286,6.48,0.0,0.0
897,An Inconvenient Truth_ How Organizations Translate Climate Change into Business as Usual,17.3,17.41,-73.26,12.96,20.5,14.6,6.78,0.0,0.0
898,Artful and Contorted Coordinating_ The Ramifications of Imposing Formal Logics of Task Jurisdiction on Situated Practice,17.0,15.5,-76.11,13.79,19.8,19.25,6.7,0.0,0.0
899,Beyond Lobbying Expenditures_ How Lobbying Breadth and Political Connectedness Affect Firm Outcomes,17.2,16.37,-62.47,11.71,18.6,18.6,6.41,0.0,0.0
900,Bringing the Boss’s Politics In_ Supervisor Political Ideology and the Gender Gap in Earnings,17.3,16.71,-72.55,12.56,19.6,21.25,6.59,0.0,0.0
901,Compromise on the Board_ Investigating the Antecedents and Consequences of Lead Independent Director Appointment,16.5,15.26,-60.95,11.04,17.1,21.75,6.26,0.0,0.0
902,Constructing a Shared Governance Logic_ The Role of Emotions in Enabling Dually Embedded Agency,16.9,16.08,-65.72,13.19,19.8,25.333333333333332,6.67,0.0,0.0
903,Corporate Volunteering Climate_ Mobilizing Employee Passion for Societal Causes and Inspiring Future Charitable Action,17.2,17.29,-69.81,11.35,19.0,11.714285714285714,6.43,0.0,0.0
904,Design Performances_ How Organizations Inscribe Artifacts to Change Routines,18.2,18.05,-81.93,12.91,21.2,19.75,6.57,0.0,0.0
905,Discordant vs. Harmonious Selves_ The Effects of Identity Conflict and Enhancement on Sales Performance in Employee–Customer Interactions,16.3,16.77,-75.94,10.06,17.8,17.6,6.01,1.0,1.0
906,Does Diversity-Valuing Behavior Result in Diminished Performance Ratings for Non-White and Female Leaders_,15.6,16.01,-76.45,10.57,17.5,14.6,6.3,0.0,0.0
907,Economic Downturns Undermine Workplace Helping by Promoting a Zero-Sum Construal of Success,17.2,15.32,-64.6,12.88,18.7,15.0,6.7,0.0,0.0
908,Effects of Employees’ Positive Affective Displays on Customer Loyalty Intentions_ An Emotions-as-Social-Information Perspective,17.4,17.53,-70.73,11.85,19.5,16.4,6.51,0.0,0.0
909,Emotions Uncorked_ Inspiring Evangelism for the Emerging Practice of Cool-Climate Winemaking in Ontario,17.0,16.31,-72.65,12.74,19.4,16.0,6.69,0.0,0.0
910,Evaluating Novelty_ The Role of Panels in the Selection of R&D Projects,17.0,15.21,-65.41,12.96,18.9,25.666666666666668,6.58,2.0,1.0
911,Failed Stakeholder Exchanges and Corporate Reputation_ The Case of Earnings Misses,16.3,15.9,-61.66,11.6,17.7,13.0,6.43,0.0,0.0
912,"Forgone, but not Forgotten_ Toward a Theory of Forgone Professional Identities",15.3,13.41,-54.41,11.52,16.5,24.666666666666668,6.24,0.0,0.0
913,From Good Soldiers to Psychologically Entitled_ Examining When and Why Citizenship Behavior Leads to Deviance,16.2,15.43,-77.46,10.93,17.4,19.75,6.25,0.0,0.0
914,Getting Leopards to Change their Spots_ Co-creating a New Professional Role Identity,17.2,15.91,-68.36,13.88,20.6,28.333333333333332,6.56,0.0,0.0
915,"Glass Breaking, Strategy Making, and Value Creating_ Meta-Analytic Outcomes of Women as CEOs and TMT members",14.2,15.94,-79.42,8.4,15.5,19.75,6.05,0.0,0.0
916,Green by Comparison_ Deviant and Normative Transmutations of Job Search Envy in a Temporal Context,16.1,15.96,-62.98,11.98,18.7,16.0,6.47,0.0,0.0
917,Health Systems in Transition_ Professional Identity Work in the Context of Shifting Institutional Logics,18.8,15.91,-72.21,15.84,22.5,39.5,7.0,0.0,0.0
918,Hidden Badge of Honor_ How Contextual Distinctiveness Affects Category Promotion among Certified B Corporations,17.3,17.18,-78.58,11.73,18.8,22.75,6.55,0.0,0.0
919,High-Stakes Institutional Translation_ Establishing North America’s First Government-sanctioned Supervised Injection Site,17.9,15.5,-70.79,14.89,21.7,27.666666666666668,6.81,0.0,0.0
920,How Do Entrepreneurial Founding Teams Allocate Task Positions_,18.3,15.5,-69.37,14.36,20.9,19.75,6.68,0.0,0.0
921,How does a Grand Challenge Become Displaced_ Explaining the Duality of Field Mobilization,16.6,16.31,-63.69,12.44,19.1,12.666666666666666,6.68,0.0,0.0
922,How Organizations Move from Stigma to Legitimacy_ The Case of Cook’s Travel Agency in Victorian Britain,16.1,14.86,-48.7,13.24,18.8,18.0,6.82,0.0,0.0
923,How Organizations Respond to Information Disclosure_ Testing Alternative Longitudinal Performance Trajectories,16.9,16.31,-63.38,11.93,19.1,13.833333333333334,6.41,0.0,0.0
924,"Human Resource Systems, Employee Creativity, and Firm Innovation_ The Moderating Role of Firm Ownership",16.3,16.77,-76.65,10.64,18.2,30.0,6.21,0.0,0.0
925,I Just Can’t Control Myself_ A Self-Regulation Perspective on the Abuse of Deviant Employees,16.9,17.76,-78.07,11.47,19.4,12.571428571428571,6.48,0.0,0.0
926,Ideology and the Micro-foundations of CSR_ Why Executives Believe in the Business Case for CSR and how this Affects their CSR Engagements,16.0,15.03,-70.32,11.42,17.4,24.0,6.32,0.0,0.0
927,Imprinting through Inheritance_ A Multi-Genealogical Study of Entrepreneurial Proclivity,17.4,17.53,-72.35,12.3,20.1,22.5,6.45,0.0,0.0
928,In The Beginning_ Identity Processes and Organizing in Multi-Founder Nascent Ventures,17.6,15.68,-68.86,14.08,20.7,28.333333333333332,6.6,0.0,0.0
929,"Institutional Complexity in Turbulent Times_ Formalization, Collaboration, and the Emergence of Blended Logics",19.9,17.24,-83.41,16.48,25.0,21.0,6.88,0.0,0.0
930,Institutional Logics and Power Sources_ Merger and Acquisition Decisions,16.2,15.84,-61.66,11.62,17.8,18.75,6.47,0.0,0.0
931,Is Consistently Unfair Better than Sporadically Fair_ An Investigation of Justice Variability and Stress,15.9,15.61,-77.87,10.93,17.7,10.75,6.18,0.0,0.0
932,Is it Better to Give or Receive_ The Role of Help in Buffering the Depleting Effects of Surface Acting,15.1,15.72,-66.56,10.07,16.6,15.0,6.28,0.0,0.0
933,"Is Love All You Need_ The Effects of Emotional Culture, Suppression, and Work–family Conflict on Firefighter Risk-Taking and Health",16.0,15.9,-70.02,11.35,17.8,13.0,6.38,2.0,1.0
934,"Is There a Doctor in the House_ Expert Product Users, Organizational Roles, and Innovation",17.0,15.79,-65.11,12.99,19.3,14.4,6.68,0.0,0.0
935,Knowledge Dependence and the Formation of Director Interlocks,16.7,16.6,-70.22,11.51,18.3,15.0,6.36,0.0,0.0
936,Knowledge Exchange Processes in Multicultural Teams_ Linking Organizational Diversity Climates to Teams’ Effectiveness,16.2,15.9,-78.88,12.07,17.8,15.8,6.68,0.0,0.0
937,"Language and Competition_ Communication Vagueness, Interpretation Difficulties, and Market Entry",15.9,15.84,-60.54,11.18,17.4,18.25,6.43,0.0,0.0
938,Maintaining the Values of a Profession_ Institutional Work and Moral Emotions in the Emergency Department,18.6,17.24,-85.78,14.04,21.9,15.6,6.58,0.0,0.0
939,Male Immorality_ An Evolutionary Account of Sex Differences in Unethical Negotiation Behavior,17.1,16.42,-87.24,11.23,18.5,16.8,6.22,0.0,0.0
940,Masters of Disasters_ An Empirical Analysis of How Societies Benefit from Corporate Disaster Aid,16.9,15.9,-72.45,12.48,19.0,15.8,6.59,0.0,0.0
941,Moral Symbols_ A Necklace of Garlic against Unethical Requests,16.6,14.22,-64.9,12.5,18.1,19.75,6.4,0.0,0.0
942,Moving from Abuse to Reconciliation_ A Power-Dependence Perspective on When and How a Follower Can Break the Spiral of Abuse,16.6,15.55,-70.93,11.63,18.3,20.75,6.32,0.0,0.0
943,Multinational Enterprises within Cultural Space and Place_ Integrating Cultural Distance and Tightness–Looseness,16.6,16.77,-61.76,11.96,18.6,15.8,6.63,0.0,0.0
944,Negotiating the Challenges of a Calling_ Emotion and Enacted Sensemaking in Animal Shelter Work,15.9,14.63,-64.9,12.66,18.3,23.333333333333332,6.51,0.0,0.0
945,"Networks, Technology, and Entrepreneurship_ A Field Quasi-experiment among Women in Rural India",15.6,15.55,-60.54,11.02,17.3,19.75,6.37,0.0,0.0
946,"Newcomer Identification_ Trends, Antecedents, Moderators, and Consequences",18.4,17.59,-76.92,13.91,22.3,27.666666666666668,6.56,0.0,0.0
947,Organizational Learning in Target Setting,15.5,15.95,-59.83,10.66,17.2,19.5,6.24,0.0,0.0
948,Pay Formalization Revisited_ Considering the Effects of Manager Gender and Discretion on Closing the Gender Wage Gap,17.1,15.96,-72.35,12.13,19.0,18.5,6.34,0.0,0.0
949,"Pay-for-performance, Sometimes_ An Interdisciplinary Approach to Integrating Economic Rationality with Psychological Emotion to Predict Individual Performance",17.1,16.83,-69.51,11.64,18.3,21.25,6.57,0.0,0.0
950,"Pliable Guidance_ A Multilevel Model of Curiosity, Feedback Seeking, and Feedback Giving in Creative Work",15.7,15.73,-61.35,11.49,17.6,17.0,6.55,0.0,0.0
951,Pseudo-Precision_ Precise Forecasts and Impression Management in Managerial Earnings Forecasts,16.3,15.96,-63.38,12.17,18.7,19.75,6.48,0.0,0.0
952,Pull the Plug or Take the Plunge_ Multiple Opportunities and the Speed of Venturing Decisions in the Australian Mining Industry,16.3,15.5,-62.77,11.59,18.1,13.666666666666666,6.32,0.0,0.0
953,Red Queen Competitive Imitation in the U.K. Mobile Phone Industry,18.0,15.44,-67.95,13.51,20.2,19.0,6.48,0.0,0.0
954,Resource-Based Contingencies of When Team–Member Exchange Helps Member Performance in Teams,17.3,16.37,-73.57,12.9,20.0,26.666666666666668,6.58,0.0,0.0
955,Risk Aversion and Guanxi Activities_ A Behavioral Analysis of CEOs in China,16.7,16.13,-54.92,12.42,18.9,16.4,6.63,0.0,0.0
956,Self-reliance_ A Gender Perspective on its Relationship to Communality and Leadership Evaluations,16.6,15.84,-71.13,11.8,18.5,11.285714285714286,6.4,1.0,1.0
957,Shady Characters_ The Implications of Illicit Organizational Roles for Resilient Team Performance,15.5,14.63,-53.6,11.7,16.9,16.0,6.53,0.0,0.0
958,Symbiont Practices in Boundary Spanning_ Bridging the Cognitive and Political Divides in Interdisciplinary Research,17.2,16.95,-65.72,13.24,20.5,25.666666666666668,6.65,0.0,0.0
959,The Conditional Importance of Prior Ties_ A Group-Level Analysis of Venture Capital Syndication,17.5,14.97,-58.68,13.29,19.7,16.6,6.45,0.0,0.0
960,The Danger of Not Listening to Firms_ Government Responsiveness and the Goal of Regulatory Compliance,17.0,16.48,-71.64,12.39,19.0,30.0,6.72,0.0,0.0
961,The Emergence of Change in Unexpected Places_ Resourcing across Organizational Practices in Strategic Change,18.0,17.42,-76.11,13.97,21.6,21.333333333333332,6.77,0.0,0.0
962,"The Evolution of Issue Interpretation within Organizational Fields_ Actor Positions, Framing Trajectories, and Field Settlement",16.3,16.02,-64.19,12.53,19.2,14.8,6.63,0.0,0.0
963,The Face of the Firm_ The Influence of CEOs on Corporate Reputation,15.5,14.92,-52.99,11.32,16.9,14.8,6.37,0.0,0.0
964,The Interplay of Team and Organizational Commitment in Motivating Employees’ Interteam Conflict Handling,16.4,15.09,-64.09,12.54,18.4,41.0,6.56,0.0,0.0
965,The Meaning of My Feelings Depends on Who I Am_ Work-Related Identifications Shape Emotion Effects in Organizations,16.0,17.06,-84.8,10.36,18.1,12.5,6.14,0.0,0.0
966,"The Message is on the Wall_ Emotions, Social Media and the Dynamics of Institutional Complexity",17.9,14.86,-72.92,15.83,22.0,20.75,6.87,0.0,0.0
967,The Value of Voice to Managers_ Employee Identification and the Content of Voice,16.3,14.28,-57.56,12.78,18.5,8.428571428571429,6.34,0.0,0.0
968,Those with the Most Find It Hardest to Share_ Exploring Leader Resistance to the Implementation of Team-based Empowerment,15.7,15.95,-85.41,11.01,17.5,13.5,6.42,0.0,0.0
969,To Shift or Not to Shift_ Determinants and Consequences of Phase Shifting on Justice Judgments,15.4,16.01,-59.32,10.69,17.1,13.166666666666666,6.35,0.0,0.0
970,"To Thine Own Self Be True_ Facades of Conformity, Values Incongruence, and the Moderating Impact of Leader Integrity",15.5,15.95,-67.17,10.46,16.9,15.2,6.36,0.0,0.0
971,Too Much of a Good Thing_ The Dual Effect of Public Sponsorship on Organizational Performance,17.6,18.28,-79.59,12.32,20.5,20.75,6.7,0.0,0.0
972,Unequal Bedfellows_ Gender Role-based Deference in Multiplex Ties between Korean Business Groups,16.1,14.68,-49.2,13.11,18.8,11.833333333333334,6.54,0.0,0.0
973,Unpacking the CEO–Board Relationship_ How Strategy Making Happens in Entrepreneurial Firms,15.0,15.49,-58.92,10.1,16.4,15.2,6.16,0.0,0.0
974,When Can Humble Top Executives Retain Middle Managers_ The Moderating Role of Top Management Team Faultlines,15.5,16.94,-83.18,11.04,17.5,16.0,6.9,0.0,0.0
975,When Does Corporate Social Responsibility Reduce Employee Turnover_ Evidence from Attorneys Before and After 9_11,16.3,14.8,-55.63,12.29,18.0,15.0,6.5,0.0,0.0
976,When Does Medici Hurt Da Vinci_ Mitigating the Signaling Effect of Extraneous Stakeholder Relationships in the Field of Cultural Production,17.8,16.48,-65.31,13.25,19.9,12.833333333333334,6.75,0.0,0.0
977,When Job Performance is All Relative_ How Family Motivation Energizes Effort and Compensates for Intrinsic Motivation,15.7,15.66,-74.72,9.96,16.3,14.5,6.28,0.0,0.0
978,Whose Call to Answer_ Institutional Complexity and Firms’ CSR Reporting,16.9,16.37,-63.48,12.19,19.1,38.0,6.56,0.0,0.0
979,Why and When Does the Gender Gap Reverse_ Diversity Goals and the Pay Premium for High Potential Women,16.3,15.09,-70.62,11.14,17.9,12.333333333333334,6.09,0.0,0.0
980,Why and When Leaders’ Affective States Influence Employee Upward Voice,16.5,15.79,-70.02,11.04,18.1,26.666666666666668,6.13,1.0,1.0
981,Why is Underemployment Related to Creativity and OCB_ A Task-Crafting Explanation of the Curvilinear Moderated Relations,16.4,16.48,-69.3,11.27,18.1,16.0,6.37,0.0,0.0
982,“Dancing on Hot Coals”_ How Emotion Work Facilitates Collective Sensemaking,16.7,16.48,-62.47,11.84,18.6,15.0,6.46,0.0,0.0
983,“Devils May Sit Here_” The Role of Enchantment in Institutional Maintenance,16.7,14.51,-58.07,13.41,18.9,15.4,6.67,0.0,0.0
984,A Competence Based View of Industry Evolution_ The Impact of Submarket Convergence on Incumbent Entrant Dynamics _ Academy of Management Journal,16.8,17.29,22.95,11.67,19.4,25.666666666666668,6.51,0.0,0.0
985,A Micro-institutional Inquiry into Resistance to Environmental Pressures _ Academy of Management Journal,17.5,17.7,13.07,12.19,20.4,28.666666666666668,6.51,0.0,0.0
986,"A Network View of Advice-giving and Individual Creativity in Teams_ A Brokerage-driven, Socially Perpetuated Phenomenon _ Academy of Management Journal",15.8,17.23,25.9,10.93,18.4,16.6,6.62,0.0,0.0
987,A Role–resource Approach–avoidance Model of Job Crafting_ A Multimethod Integration and Extension of Job Crafting Theory _ Academy of Management Journal,15.8,16.83,30.91,11.64,19.5,15.2,6.34,0.0,0.0
988,A Signaling Theory of Institutional Activism_ How Norway’s Sovereign Wealth Fund Investments Affect Firms’ Foreign Acquisitions _ Academy of Management Journal,17.8,19.9,19.91,13.54,23.4,19.75,7.05,0.0,0.0
989,A Social Mindfulness Approach to Understanding Experienced Customer Mistreatment_ A Within-person Field Experiment _ Academy of Management Journal,15.9,16.77,25.59,10.55,18.0,19.75,6.31,0.0,0.0
990,An Examination of the Firm-level Performance Impact of Cluster Hiring in Knowledge-intensive Firms _ Academy of Management Journal,16.1,15.84,31.11,11.28,17.9,18.5,6.14,0.0,0.0
991,Are Family Firms Good Employers_ _ Academy of Management Journal,15.6,18.51,26.51,9.87,19.8,14.6,6.16,0.0,0.0
992,Becoming Who We Serve_ A Model of Multi-Layered Employee–Customer Identification _ Academy of Management Journal,15.4,15.03,38.96,11.43,17.5,25.333333333333332,6.17,0.0,0.0
993,Collaborative Stakeholder Engagement_ An Integration between Theories of Organizational Legitimacy and Learning,17.4,17.41,-73.47,12.84,20.7,18.75,6.6,0.0,0.0
994,Compromised Ethics in Hiring Processes_ How Referrers’ Power Affects Employees’ Reactions to Referral Practices _ Academy of Management Journal,16.9,14.45,28.27,12.36,18.5,25.0,6.33,0.0,0.0
995,"Consequences of Downward Envy_ A Model of Self-esteem Threat, Abusive Supervision, and Supervisory Leader Self-improvement _ Academy of Management Journal",15.6,16.36,25.29,10.91,18.1,34.0,6.48,0.0,0.0
996,Coordinating Service Provision in Dynamic Service Settings_ A Position-practice Relations Perspective _ Academy of Management Journal,16.7,15.32,25.93,13.15,20.1,14.0,6.42,0.0,0.0
997,Deep Help in Complex Project Work_ Guiding and Path-Clearing Across Difficult Terrain _ Academy of Management Journal,14.9,13.23,44.17,13.06,17.7,17.0,6.56,0.0,0.0
998,Disasters and Community Resilience_ Spanish Flu and the Formation of Retail Cooperatives in Norway,15.8,15.09,-53.5,12.06,17.1,19.0,6.87,0.0,0.0
